 1.00000000e+00  8.97932634e+01  1.00000000e+00 -9.46101289e-04  1.00000000e+00  1.41129600e+01  1.00000000e+00  9.75359317e+00  1.00000000e+00 -2.87278185e+01 
 1.02329299e+00  8.97932632e+01  1.02329299e+00 -9.68214247e-04  1.02329299e+00  1.41129599e+01  1.02329299e+00  9.75359304e+00  1.02329299e+00 -2.87278186e+01 
 1.04712855e+00  8.97932630e+01  1.04712855e+00 -9.90840564e-04  1.04712855e+00  1.41129598e+01  1.04712855e+00  9.75359290e+00  1.04712855e+00 -2.87278187e+01 
 1.07151931e+00  8.97932628e+01  1.07151931e+00 -1.01399224e-03  1.07151931e+00  1.41129597e+01  1.07151931e+00  9.75359276e+00  1.07151931e+00 -2.87278188e+01 
 1.09647820e+00  8.97932626e+01  1.09647820e+00 -1.03768154e-03  1.09647820e+00  1.41129596e+01  1.09647820e+00  9.75359261e+00  1.09647820e+00 -2.87278190e+01 
 1.12201845e+00  8.97932624e+01  1.12201845e+00 -1.06192103e-03  1.12201845e+00  1.41129595e+01  1.12201845e+00  9.75359246e+00  1.12201845e+00 -2.87278191e+01 
 1.14815362e+00  8.97932622e+01  1.14815362e+00 -1.08672357e-03  1.14815362e+00  1.41129593e+01  1.14815362e+00  9.75359229e+00  1.14815362e+00 -2.87278193e+01 
 1.17489755e+00  8.97932619e+01  1.17489755e+00 -1.11210230e-03  1.17489755e+00  1.41129592e+01  1.17489755e+00  9.75359212e+00  1.17489755e+00 -2.87278195e+01 
 1.20226443e+00  8.97932617e+01  1.20226443e+00 -1.13807068e-03  1.20226443e+00  1.41129591e+01  1.20226443e+00  9.75359194e+00  1.20226443e+00 -2.87278196e+01 
 1.23026877e+00  8.97932614e+01  1.23026877e+00 -1.16464248e-03  1.23026877e+00  1.41129589e+01  1.23026877e+00  9.75359176e+00  1.23026877e+00 -2.87278198e+01 
 1.25892541e+00  8.97932611e+01  1.25892541e+00 -1.19183178e-03  1.25892541e+00  1.41129588e+01  1.25892541e+00  9.75359156e+00  1.25892541e+00 -2.87278200e+01 
 1.28824955e+00  8.97932608e+01  1.28824955e+00 -1.21965301e-03  1.28824955e+00  1.41129586e+01  1.28824955e+00  9.75359135e+00  1.28824955e+00 -2.87278202e+01 
 1.31825674e+00  8.97932605e+01  1.31825674e+00 -1.24812091e-03  1.31825674e+00  1.41129584e+01  1.31825674e+00  9.75359114e+00  1.31825674e+00 -2.87278204e+01 
 1.34896288e+00  8.97932602e+01  1.34896288e+00 -1.27725058e-03  1.34896288e+00  1.41129583e+01  1.34896288e+00  9.75359091e+00  1.34896288e+00 -2.87278206e+01 
 1.38038426e+00  8.97932599e+01  1.38038426e+00 -1.30705746e-03  1.38038426e+00  1.41129581e+01  1.38038426e+00  9.75359068e+00  1.38038426e+00 -2.87278208e+01 
 1.41253754e+00  8.97932595e+01  1.41253754e+00 -1.33755735e-03  1.41253754e+00  1.41129579e+01  1.41253754e+00  9.75359043e+00  1.41253754e+00 -2.87278210e+01 
 1.44543977e+00  8.97932592e+01  1.44543977e+00 -1.36876644e-03  1.44543977e+00  1.41129577e+01  1.44543977e+00  9.75359017e+00  1.44543977e+00 -2.87278213e+01 
 1.47910839e+00  8.97932588e+01  1.47910839e+00 -1.40070126e-03  1.47910839e+00  1.41129575e+01  1.47910839e+00  9.75358990e+00  1.47910839e+00 -2.87278215e+01 
 1.51356125e+00  8.97932584e+01  1.51356125e+00 -1.43337874e-03  1.51356125e+00  1.41129572e+01  1.51356125e+00  9.75358962e+00  1.51356125e+00 -2.87278218e+01 
 1.54881662e+00  8.97932580e+01  1.54881662e+00 -1.46681622e-03  1.54881662e+00  1.41129570e+01  1.54881662e+00  9.75358932e+00  1.54881662e+00 -2.87278221e+01 
 1.58489319e+00  8.97932575e+01  1.58489319e+00 -1.50103141e-03  1.58489319e+00  1.41129568e+01  1.58489319e+00  9.75358901e+00  1.58489319e+00 -2.87278224e+01 
