 1.00000000e+00  6.87882577e+01  1.00000000e+00 -6.47724927e-05  1.00000000e+00 -8.78615701e+00  1.00000000e+00 -1.34250328e+01  1.00000000e+00 -1.41648943e+00 
 1.02329299e+00  6.87882577e+01  1.02329299e+00 -6.62879578e-05  1.02329299e+00 -8.78615701e+00  1.02329299e+00 -1.34250328e+01  1.02329299e+00 -1.41648943e+00 
 1.04712855e+00  6.87882577e+01  1.04712855e+00 -6.78385697e-05  1.04712855e+00 -8.78615701e+00  1.04712855e+00 -1.34250328e+01  1.04712855e+00 -1.41648943e+00 
 1.07151931e+00  6.87882577e+01  1.07151931e+00 -6.94251505e-05  1.07151931e+00 -8.78615701e+00  1.07151931e+00 -1.34250328e+01  1.07151931e+00 -1.41648943e+00 
 1.09647820e+00  6.87882577e+01  1.09647820e+00 -7.10485414e-05  1.09647820e+00 -8.78615701e+00  1.09647820e+00 -1.34250327e+01  1.09647820e+00 -1.41648943e+00 
 1.12201845e+00  6.87882577e+01  1.12201845e+00 -7.27096032e-05  1.12201845e+00 -8.78615701e+00  1.12201845e+00 -1.34250327e+01  1.12201845e+00 -1.41648943e+00 
 1.14815362e+00  6.87882577e+01  1.14815362e+00 -7.44092166e-05  1.14815362e+00 -8.78615701e+00  1.14815362e+00 -1.34250327e+01  1.14815362e+00 -1.41648943e+00 
 1.17489755e+00  6.87882577e+01  1.17489755e+00 -7.61482827e-05  1.17489755e+00 -8.78615701e+00  1.17489755e+00 -1.34250327e+01  1.17489755e+00 -1.41648943e+00 
 1.20226443e+00  6.87882577e+01  1.20226443e+00 -7.79277237e-05  1.20226443e+00 -8.78615701e+00  1.20226443e+00 -1.34250327e+01  1.20226443e+00 -1.41648944e+00 
 1.23026877e+00  6.87882577e+01  1.23026877e+00 -7.97484830e-05  1.23026877e+00 -8.78615702e+00  1.23026877e+00 -1.34250326e+01  1.23026877e+00 -1.41648944e+00 
 1.25892541e+00  6.87882577e+01  1.25892541e+00 -8.16115260e-05  1.25892541e+00 -8.78615702e+00  1.25892541e+00 -1.34250326e+01  1.25892541e+00 -1.41648944e+00 
 1.28824955e+00  6.87882577e+01  1.28824955e+00 -8.35178405e-05  1.28824955e+00 -8.78615702e+00  1.28824955e+00 -1.34250326e+01  1.28824955e+00 -1.41648944e+00 
 1.31825674e+00  6.87882577e+01  1.31825674e+00 -8.54684372e-05  1.31825674e+00 -8.78615702e+00  1.31825674e+00 -1.34250326e+01  1.31825674e+00 -1.41648944e+00 
 1.34896288e+00  6.87882577e+01  1.34896288e+00 -8.74643505e-05  1.34896288e+00 -8.78615702e+00  1.34896288e+00 -1.34250325e+01  1.34896288e+00 -1.41648944e+00 
