 1.00000000e+00  8.02429415e+01  1.00000000e+00 -3.30023425e-04  1.00000000e+00  3.42531754e+00  1.00000000e+00 -3.45907340e+00  1.00000000e+00  1.25108639e+00 
 1.25892541e+00  8.02429412e+01  1.25892541e+00 -4.15474867e-04  1.25892541e+00  3.42531727e+00  1.25892541e+00 -3.45907308e+00  1.25892541e+00  1.25108611e+00 
 1.58489319e+00  8.02429407e+01  1.58489319e+00 -5.23051851e-04  1.58489319e+00  3.42531683e+00  1.58489319e+00 -3.45907258e+00  1.58489319e+00  1.25108567e+00 
 1.99526231e+00  8.02429400e+01  1.99526231e+00 -6.58483232e-04  1.99526231e+00  3.42531613e+00  1.99526231e+00 -3.45907179e+00  1.99526231e+00  1.25108498e+00 
 2.51188643e+00  8.02429389e+01  2.51188643e+00 -8.28981203e-04  2.51188643e+00  3.42531503e+00  2.51188643e+00 -3.45907053e+00  2.51188643e+00  1.25108388e+00 
 3.16227766e+00  8.02429372e+01  3.16227766e+00 -1.04362536e-03  3.16227766e+00  3.42531329e+00  3.16227766e+00 -3.45906854e+00  3.16227766e+00  1.25108213e+00 
 3.98107171e+00  8.02429344e+01  3.98107171e+00 -1.31384621e-03  3.98107171e+00  3.42531052e+00  3.98107171e+00 -3.45906534e+00  3.98107171e+00  1.25107936e+00 
 5.01187234e+00  8.02429300e+01  5.01187234e+00 -1.65403383e-03  5.01187234e+00  3.42530613e+00  5.01187234e+00 -3.45906033e+00  5.01187234e+00  1.25107498e+00 
 6.30957344e+00  8.02429231e+01  6.30957344e+00 -2.08230410e-03  6.30957344e+00  3.42529918e+00  6.30957344e+00 -3.45905240e+00  6.30957344e+00  1.25106803e+00 
 7.94328235e+00  8.02429121e+01  7.94328235e+00 -2.62146334e-03  7.94328235e+00  3.42528817e+00  7.94328235e+00 -3.45903981e+00  7.94328235e+00  1.25105701e+00 
 1.00000000e+01  8.02428946e+01  1.00000000e+01 -3.30022239e-03  1.00000000e+01  3.42527071e+00  1.00000000e+01 -3.45901987e+00  1.00000000e+01  1.25103956e+00 
 1.25892541e+01  8.02428670e+01  1.25892541e+01 -4.15472501e-03  1.25892541e+01  3.42524305e+00  1.25892541e+01 -3.45898826e+00  1.25892541e+01  1.25101189e+00 
 1.58489319e+01  8.02428231e+01  1.58489319e+01 -5.23047129e-03  1.58489319e+01  3.42519920e+00  1.58489319e+01 -3.45893814e+00  1.58489319e+01  1.25096804e+00 
 1.99526231e+01  8.02427536e+01  1.99526231e+01 -6.58473810e-03  1.99526231e+01  3.42512971e+00  1.99526231e+01 -3.45885875e+00  1.99526231e+01  1.25089855e+00 
 2.51188643e+01  8.02426435e+01  2.51188643e+01 -8.28962404e-03  2.51188643e+01  3.42501957e+00  2.51188643e+01 -3.45873291e+00  2.51188643e+01  1.25078841e+00 
 3.16227766e+01  8.02424689e+01  3.16227766e+01 -1.04358786e-02  3.16227766e+01  3.42484503e+00  3.16227766e+01 -3.45853347e+00  3.16227766e+01  1.25061387e+00 
 3.98107171e+01  8.02421923e+01  3.98107171e+01 -1.31377138e-02  3.98107171e+01  3.42456841e+00  3.98107171e+01 -3.45821744e+00  3.98107171e+01  1.25033724e+00 
 5.01187234e+01  8.02417539e+01  5.01187234e+01 -1.65388452e-02  5.01187234e+01  3.42413002e+00  5.01187234e+01 -3.45771671e+00  5.01187234e+01  1.24989885e+00 
 6.30957344e+01  8.02410592e+01  6.30957344e+01 -2.08200623e-02  6.30957344e+01  3.42343533e+00  6.30957344e+01 -3.45692341e+00  6.30957344e+01  1.24920414e+00 
 7.94328235e+01  8.02399584e+01  7.94328235e+01 -2.62086908e-02  7.94328235e+01  3.42233453e+00  7.94328235e+01 -3.45566694e+00  7.94328235e+01  1.24810333e+00 
 1.00000000e+02  8.02382143e+01  1.00000000e+02 -3.29903699e-02  1.00000000e+02  3.42059046e+00  1.00000000e+02 -3.45367761e+00  1.00000000e+02  1.24635923e+00 
 1.25892541e+02  8.02354516e+01  1.25892541e+02 -4.15236073e-02  1.25892541e+02  3.41782773e+00  1.25892541e+02 -3.45052990e+00  1.25892541e+02  1.24359645e+00 
 1.58489319e+02  8.02310765e+01  1.58489319e+02 -5.22575683e-02  1.58489319e+02  3.41345270e+00  1.58489319e+02 -3.44555393e+00  1.58489319e+02  1.23922134e+00 
 1.99526231e+02  8.02241515e+01  1.99526231e+02 -6.57534060e-02  1.99526231e+02  3.40652775e+00  1.99526231e+02 -3.43769961e+00  1.99526231e+02  1.23229628e+00 
 2.51188643e+02  8.02131987e+01  2.51188643e+02 -8.27090224e-02  2.51188643e+02  3.39557502e+00  2.51188643e+02 -3.42533140e+00  2.51188643e+02  1.22134336e+00 
 3.16227766e+02  8.01958961e+01  3.16227766e+02 -1.03986139e-01  3.16227766e+02  3.37827249e+00  3.16227766e+02 -3.40592730e+00  3.16227766e+02  1.20404054e+00 
 3.98107171e+02  8.01686136e+01  3.98107171e+02 -1.30636441e-01  3.98107171e+02  3.35099026e+00  3.98107171e+02 -3.37566163e+00  3.98107171e+02  1.17675784e+00 
 5.01187234e+02  8.01257220e+01  5.01187234e+02 -1.63919422e-01  5.01187234e+02  3.30809888e+00  5.01187234e+02 -3.32887953e+00  5.01187234e+02  1.13386572e+00 
 6.30957344e+02  8.00585992e+01  6.30957344e+02 -2.05297015e-01  6.30957344e+02  3.24097659e+00  6.30957344e+02 -3.25756625e+00  6.30957344e+02  1.06674225e+00 
