-4.00000000e+01  4.06578558e-06 -4.00000000e+01  4.15655550e-06 
-3.90000000e+01  4.08839861e-06 -3.90000000e+01  4.17941319e-06 
-3.80000000e+01  4.11103234e-06 -3.80000000e+01  4.20229136e-06 
-3.70000000e+01  4.13368640e-06 -3.70000000e+01  4.22518965e-06 
-3.60000000e+01  4.15636045e-06 -3.60000000e+01  4.24810771e-06 
-3.50000000e+01  4.17905411e-06 -3.50000000e+01  4.27104518e-06 
-3.40000000e+01  4.20176703e-06 -3.40000000e+01  4.29400170e-06 
-3.30000000e+01  4.22449885e-06 -3.30000000e+01  4.31697692e-06 
-3.20000000e+01  4.24724921e-06 -3.20000000e+01  4.33997047e-06 
-3.10000000e+01  4.27001775e-06 -3.10000000e+01  4.36298201e-06 
-3.00000000e+01  4.29280410e-06 -3.00000000e+01  4.38601117e-06 
-2.90000000e+01  4.31560792e-06 -2.90000000e+01  4.40905760e-06 
-2.80000000e+01  4.33842883e-06 -2.80000000e+01  4.43212095e-06 
-2.70000000e+01  4.36126648e-06 -2.70000000e+01  4.45520084e-06 
-2.60000000e+01  4.38412050e-06 -2.60000000e+01  4.47829694e-06 
-2.50000000e+01  4.40699055e-06 -2.50000000e+01  4.50140887e-06 
-2.40000000e+01  4.42987624e-06 -2.40000000e+01  4.52453629e-06 
-2.30000000e+01  4.45277724e-06 -2.30000000e+01  4.54767883e-06 
-2.20000000e+01  4.47569317e-06 -2.20000000e+01  4.57083615e-06 
-2.10000000e+01  4.49862367e-06 -2.10000000e+01  4.59400788e-06 
-2.00000000e+01  4.52156839e-06 -2.00000000e+01  4.61719368e-06 
-1.90000000e+01  4.54452696e-06 -1.90000000e+01  4.64039317e-06 
-1.80000000e+01  4.56749903e-06 -1.80000000e+01  4.66360601e-06 
-1.70000000e+01  4.59048423e-06 -1.70000000e+01  4.68683184e-06 
-1.60000000e+01  4.61348221e-06 -1.60000000e+01  4.71007031e-06 
-1.50000000e+01  4.63649260e-06 -1.50000000e+01  4.73332106e-06 
-1.40000000e+01  4.65951505e-06 -1.40000000e+01  4.75658374e-06 
-1.30000000e+01  4.68254919e-06 -1.30000000e+01  4.77985799e-06 
-1.20000000e+01  4.70559468e-06 -1.20000000e+01  4.80314345e-06 
-1.10000000e+01  4.72865114e-06 -1.10000000e+01  4.82643978e-06 
-1.00000000e+01  4.75171822e-06 -1.00000000e+01  4.84974661e-06 
-9.00000000e+00  4.77479554e-06 -9.00000000e+00  4.87306359e-06 
-8.00000000e+00  4.79788280e-06 -8.00000000e+00  4.89639040e-06 
-7.00000000e+00  4.82097959e-06 -7.00000000e+00  4.91972664e-06 
-6.00000000e+00  4.84408557e-06 -6.00000000e+00  4.94307198e-06 
-5.00000000e+00  4.86720037e-06 -5.00000000e+00  4.96642606e-06 
-4.00000000e+00  4.89032365e-06 -4.00000000e+00  4.98978854e-06 
-3.00000000e+00  4.91345505e-06 -3.00000000e+00  5.01315906e-06 
-2.00000000e+00  4.93659420e-06 -2.00000000e+00  5.03653726e-06 
-1.00000000e+00  4.95974076e-06 -1.00000000e+00  5.05992281e-06 
 0.00000000e+00  4.98289436e-06  0.00000000e+00  5.08331535e-06 
 1.00000000e+00  5.00605466e-06  1.00000000e+00  5.10671452e-06 
 2.00000000e+00  5.02922129e-06  2.00000000e+00  5.13011999e-06 
 3.00000000e+00  5.05239391e-06  3.00000000e+00  5.15353140e-06 
 4.00000000e+00  5.07557215e-06  4.00000000e+00  5.17694840e-06 
 5.00000000e+00  5.09875567e-06  5.00000000e+00  5.20037064e-06 
 6.00000000e+00  5.12194411e-06  6.00000000e+00  5.22379779e-06 
 7.00000000e+00  5.14513711e-06  7.00000000e+00  5.24722949e-06 
 8.00000000e+00  5.16833434e-06  8.00000000e+00  5.27066539e-06 
 9.00000000e+00  5.19153544e-06  9.00000000e+00  5.29410517e-06 
 1.00000000e+01  5.21474003e-06  1.00000000e+01  5.31754844e-06 
 1.10000000e+01  5.23794778e-06  1.10000000e+01  5.34099488e-06 
 1.20000000e+01  5.26115835e-06  1.20000000e+01  5.36444415e-06 
 1.30000000e+01  5.28437138e-06  1.30000000e+01  5.38789591e-06 
 1.40000000e+01  5.30758653e-06  1.40000000e+01  5.41134982e-06 
 1.50000000e+01  5.33080343e-06  1.50000000e+01  5.43480552e-06 
 1.60000000e+01  5.35402175e-06  1.60000000e+01  5.45826268e-06 
 1.70000000e+01  5.37724114e-06  1.70000000e+01  5.48172096e-06 
 1.80000000e+01  5.40046125e-06  1.80000000e+01  5.50518001e-06 
 1.90000000e+01  5.42368174e-06  1.90000000e+01  5.52863951e-06 
 2.00000000e+01  5.44690225e-06  2.00000000e+01  5.55209911e-06 
 2.10000000e+01  5.47012244e-06  2.10000000e+01  5.57555848e-06 
 2.20000000e+01  5.49334247e-06  2.20000000e+01  5.59901777e-06 
 2.30000000e+01  5.51656051e-06  2.30000000e+01  5.62247515e-06 
 2.40000000e+01  5.53977770e-06  2.40000000e+01  5.64593179e-06 
 2.50000000e+01  5.56299319e-06  2.50000000e+01  5.66938686e-06 
 2.60000000e+01  5.58620665e-06  2.60000000e+01  5.69284001e-06 
 2.70000000e+01  5.60941775e-06  2.70000000e+01  5.71629092e-06 
 2.80000000e+01  5.63262613e-06  2.80000000e+01  5.73973926e-06 
 2.90000000e+01  5.65583146e-06  2.90000000e+01  5.76318469e-06 
 3.00000000e+01  5.67903340e-06  3.00000000e+01  5.78662689e-06 
 3.10000000e+01  5.70223162e-06  3.10000000e+01  5.81006552e-06 
