 2.08929613e+00 -7.66681582e+01  2.08929613e+00 -1.35536797e+00  2.08929613e+00 -7.08654320e+01  2.08929613e+00 -1.53343605e+01  2.08929613e+00 -3.69038904e+01 
 2.13796209e+00 -7.67063858e+01  2.13796209e+00 -1.34851560e+00  2.13796209e+00 -7.09028312e+01  2.13796209e+00 -1.54252859e+01  2.13796209e+00 -3.69463662e+01 
 2.18776162e+00 -7.67429049e+01  2.18776162e+00 -1.34195577e+00  2.18776162e+00 -7.09431558e+01  2.18776162e+00 -1.55170635e+01  2.18776162e+00 -3.69922443e+01 
 2.23872114e+00 -7.67808857e+01  2.23872114e+00 -1.33571341e+00  2.23872114e+00 -7.09834614e+01  2.23872114e+00 -1.56097581e+01  2.23872114e+00 -3.70403869e+01 
 2.29086765e+00 -7.68239819e+01  2.29086765e+00 -1.32982156e+00  2.29086765e+00 -7.10235347e+01  2.29086765e+00 -1.57034332e+01  2.29086765e+00 -3.70907019e+01 
 2.34422882e+00 -7.68683586e+01  2.34422882e+00 -1.32424623e+00  2.34422882e+00 -7.10708049e+01  2.34422882e+00 -1.57981505e+01  2.34422882e+00 -3.71422365e+01 
 2.39883292e+00 -7.69123898e+01  2.39883292e+00 -1.31896977e+00  2.39883292e+00 -7.11157267e+01  2.39883292e+00 -1.58939699e+01  2.39883292e+00 -3.71950082e+01 
 2.45470892e+00 -7.69595477e+01  2.45470892e+00 -1.31402350e+00  2.45470892e+00 -7.11662721e+01  2.45470892e+00 -1.59909492e+01  2.45470892e+00 -3.72506545e+01 
 2.51188643e+00 -7.70104796e+01  2.51188643e+00 -1.30941331e+00  2.51188643e+00 -7.12157081e+01  2.51188643e+00 -1.60891442e+01  2.51188643e+00 -3.73082445e+01 
 2.57039578e+00 -7.70619822e+01  2.57039578e+00 -1.30510385e+00  2.57039578e+00 -7.12667277e+01  2.57039578e+00 -1.61886084e+01  2.57039578e+00 -3.73654728e+01 
 2.63026799e+00 -7.71163671e+01  2.63026799e+00 -1.30111652e+00  2.63026799e+00 -7.13227624e+01  2.63026799e+00 -1.62893929e+01  2.63026799e+00 -3.74268794e+01 
 2.69153480e+00 -7.71714506e+01  2.69153480e+00 -1.29742382e+00  2.69153480e+00 -7.13810396e+01  2.69153480e+00 -1.63915466e+01  2.69153480e+00 -3.74880000e+01 
 2.75422870e+00 -7.72300480e+01  2.75422870e+00 -1.29405394e+00  2.75422870e+00 -7.14388387e+01  2.75422870e+00 -1.64951155e+01  2.75422870e+00 -3.75537264e+01 
