dc,V
1.72000000e-01,7.17206738e-07
1.73000000e-01,-7.32127248e-07
1.74000000e-01,-6.01784400e-07
1.75000000e-01,-6.16987794e-07
1.76000000e-01,8.40063574e-07
1.77000000e-01,7.02451874e-07
1.78000000e-01,-7.47511386e-07
1.79000000e-01,-6.17823570e-07
1.80000000e-01,-6.33700648e-07
1.81000000e-01,-6.36338093e-07
1.82000000e-01,-6.40362430e-07
1.83000000e-01,-6.44434284e-07
1.84000000e-01,-6.48676224e-07
1.85000000e-01,-6.53085586e-07
1.86000000e-01,8.01328781e-07
1.87000000e-01,6.62260469e-07
1.88000000e-01,-7.89324162e-07
1.89000000e-01,-6.61299904e-07
1.90000000e-01,-6.78894718e-07
1.91000000e-01,7.75692843e-07
1.92000000e-01,6.35526298e-07
1.93000000e-01,-8.17070855e-07
1.94000000e-01,-6.90099533e-07
1.95000000e-01,-7.08786363e-07
1.96000000e-01,-7.14325488e-07
1.97000000e-01,7.37653050e-07
1.98000000e-01,-8.62812044e-07
1.99000000e-01,-7.23578086e-07
2.00000000e-01,7.14212689e-07
2.01000000e-01,5.73158854e-07
2.02000000e-01,5.77126347e-07
2.03000000e-01,-8.91577923e-07
2.04000000e-01,-7.66055219e-07
2.05000000e-01,-7.87636179e-07
2.06000000e-01,-7.96035238e-07
2.07000000e-01,-8.06021028e-07
2.08000000e-01,6.42757403e-07
2.09000000e-01,4.97860864e-07
2.10000000e-01,-9.59746060e-07
2.11000000e-01,-8.37934166e-07
2.12000000e-01,5.97051741e-07
2.13000000e-01,-1.00728936e-06
2.14000000e-01,-2.33231390e-06
2.15000000e-01,-7.65532082e-07
2.16000000e-01,-2.38344189e-06
2.17000000e-01,6.68295641e-07
2.18000000e-01,1.83065474e-06
2.19000000e-01,-2.66960365e-06
2.20000000e-01,-8.13163314e-07
2.21000000e-01,4.57549998e-07
2.22000000e-01,3.22580185e-07
2.23000000e-01,3.16390913e-07
2.24000000e-01,-1.16128263e-06
2.25000000e-01,-1.04515818e-06
2.26000000e-01,-2.53542431e-06
2.27000000e-01,-9.60515223e-07
2.28000000e-01,1.79051796e-06
2.29000000e-01,-1.40346090e-06
2.30000000e-01,-4.05094935e-06
2.31000000e-01,-2.37252973e-06
2.32000000e-01,3.65859343e-07
2.33000000e-01,8.78292994e-08
2.34000000e-01,8.66049454e-08
2.35000000e-01,-2.85899082e-06
2.36000000e-01,-4.07547551e-06
2.37000000e-01,-1.07507958e-06
2.38000000e-01,-1.38184353e-06
2.39000000e-01,7.38089589e-08
2.40000000e-01,-1.55181334e-06
2.41000000e-01,-2.89487279e-06
2.42000000e-01,-1.34705536e-06
2.43000000e-01,-2.98449709e-06
2.44000000e-01,4.70925521e-08
2.45000000e-01,1.18866694e-06
2.46000000e-01,-1.87403471e-06
2.47000000e-01,-1.63301372e-06
2.48000000e-01,-4.61544492e-06
2.49000000e-01,-4.38452386e-06
2.50000000e-01,1.38518130e-06
2.51000000e-01,8.07557132e-07
2.52000000e-01,-3.56428398e-06
2.53000000e-01,-3.21140270e-06
2.54000000e-01,-3.29505045e-06
2.55000000e-01,-1.88117033e-06
2.56000000e-01,-6.06838135e-07
2.57000000e-01,-2.23941443e-06
2.58000000e-01,-3.60621000e-06
2.59000000e-01,-3.54032759e-06
2.60000000e-01,-2.14924878e-06
2.61000000e-01,-2.34113928e-06
2.62000000e-01,-9.30345134e-07
2.63000000e-01,-4.04617628e-06
2.64000000e-01,-5.28848343e-06
2.65000000e-01,-2.32847785e-06
2.66000000e-01,-2.67560285e-06
2.67000000e-01,-2.72066103e-06
2.68000000e-01,-2.79595280e-06
2.69000000e-01,-4.32996838e-06
2.70000000e-01,-4.27328350e-06
2.71000000e-01,-4.36568293e-06
2.72000000e-01,-4.44709425e-06
2.73000000e-01,-1.61433489e-06
2.74000000e-01,-3.42973383e-06
2.75000000e-01,-4.82024065e-06
2.76000000e-01,-3.33493233e-06
2.77000000e-01,-5.03551023e-06
2.78000000e-01,-3.52807916e-06
2.79000000e-01,-6.69630440e-06
2.80000000e-01,-7.97856714e-06
2.81000000e-01,-3.60198849e-06
2.82000000e-01,-5.58597657e-06
2.83000000e-01,-5.52921664e-06
2.84000000e-01,-4.20517354e-06
2.85000000e-01,-5.91976512e-06
2.86000000e-01,-8.81773499e-06
2.87000000e-01,-7.23397919e-06
2.88000000e-01,-6.06710460e-06
2.89000000e-01,-6.32531227e-06
2.90000000e-01,-4.99791630e-06
2.91000000e-01,-5.28018340e-06
2.92000000e-01,-6.87811941e-06
2.93000000e-01,-8.35992031e-06
2.94000000e-01,-9.85752679e-06
2.95000000e-01,-1.13589369e-05
2.96000000e-01,-8.48841042e-06
2.97000000e-01,-6.02589223e-06
2.98000000e-01,-9.36752542e-06
2.99000000e-01,-1.07217373e-05
3.00000000e-01,-9.34692501e-06
3.01000000e-01,-9.68853087e-06
3.02000000e-01,-8.41950198e-06
3.03000000e-01,-1.02232725e-05
3.04000000e-01,-1.17509056e-05
3.05000000e-01,-1.18518586e-05
3.06000000e-01,-1.35502241e-05
3.07000000e-01,-1.21908230e-05
3.08000000e-01,-1.11203744e-05
3.09000000e-01,-1.00310000e-05
3.10000000e-01,-1.33282398e-05
3.11000000e-01,-1.47707673e-05
3.12000000e-01,-1.34743279e-05
3.13000000e-01,-1.38975347e-05
3.14000000e-01,-1.41711851e-05
3.15000000e-01,-1.44675729e-05
3.16000000e-01,-1.33120737e-05
3.17000000e-01,-1.52176627e-05
3.18000000e-01,-1.83101569e-05
3.19000000e-01,-1.69263292e-05
3.20000000e-01,-1.74237456e-05
3.21000000e-01,-1.92174410e-05
3.22000000e-01,-1.79845245e-05
3.23000000e-01,-1.70412000e-05
3.24000000e-01,-2.04594808e-05
3.25000000e-01,-2.20288068e-05
3.26000000e-01,-1.94031631e-05
3.27000000e-01,-2.30118054e-05
3.28000000e-01,-2.16819962e-05
3.29000000e-01,-1.93605092e-05
