 2.08929613e+00 -1.89043894e+02  2.08929613e+00 -2.81585503e-02  2.08929613e+00 -1.83472746e+02  2.08929613e+00 -1.51347851e-02  2.08929613e+00 -5.51843306e+01 
 2.13796209e+00 -1.89043748e+02  2.13796209e+00 -2.88141341e-02  2.13796209e+00 -1.83471377e+02  2.13796209e+00 -1.51347852e-02  2.13796209e+00 -5.51843305e+01 
 2.18776162e+00 -1.89043596e+02  2.18776162e+00 -2.94849659e-02  2.18776162e+00 -1.83469943e+02  2.18776162e+00 -1.51347853e-02  2.18776162e+00 -5.51843305e+01 
 2.23872114e+00 -1.89043437e+02  2.23872114e+00 -3.01713995e-02  2.23872114e+00 -1.83468443e+02  2.23872114e+00 -1.51347853e-02  2.23872114e+00 -5.51843305e+01 
 2.29086765e+00 -1.89043270e+02  2.29086765e+00 -3.08737964e-02  2.29086765e+00 -1.83466872e+02  2.29086765e+00 -1.51347854e-02  2.29086765e+00 -5.51843304e+01 
 2.34422882e+00 -1.89043096e+02  2.34422882e+00 -3.15925267e-02  2.34422882e+00 -1.83465228e+02  2.34422882e+00 -1.51347855e-02  2.34422882e+00 -5.51843304e+01 
 2.39883292e+00 -1.89042913e+02  2.39883292e+00 -3.23279690e-02  2.39883292e+00 -1.83463508e+02  2.39883292e+00 -1.51347855e-02  2.39883292e+00 -5.51843303e+01 
 2.45470892e+00 -1.89042722e+02  2.45470892e+00 -3.30805102e-02  2.45470892e+00 -1.83461706e+02  2.45470892e+00 -1.51347856e-02  2.45470892e+00 -5.51843303e+01 
 2.51188643e+00 -1.89042521e+02  2.51188643e+00 -3.38505466e-02  2.51188643e+00 -1.83459821e+02  2.51188643e+00 -1.51347857e-02  2.51188643e+00 -5.51843303e+01 
 2.57039578e+00 -1.89042311e+02  2.57039578e+00 -3.46384831e-02  2.57039578e+00 -1.83457848e+02  2.57039578e+00 -1.51347858e-02  2.57039578e+00 -5.51843302e+01 
 2.63026799e+00 -1.89042092e+02  2.63026799e+00 -3.54447341e-02  2.63026799e+00 -1.83455783e+02  2.63026799e+00 -1.51347859e-02  2.63026799e+00 -5.51843302e+01 
 2.69153480e+00 -1.89041861e+02  2.69153480e+00 -3.62697235e-02  2.69153480e+00 -1.83453621e+02  2.69153480e+00 -1.51347860e-02  2.69153480e+00 -5.51843301e+01 
 2.75422870e+00 -1.89041621e+02  2.75422870e+00 -3.71138847e-02  2.75422870e+00 -1.83451359e+02  2.75422870e+00 -1.51347861e-02  2.75422870e+00 -5.51843300e+01 
 2.81838293e+00 -1.89041368e+02  2.81838293e+00 -3.79776612e-02  2.81838293e+00 -1.83448991e+02  2.81838293e+00 -1.51347862e-02  2.81838293e+00 -5.51843300e+01 
 2.88403150e+00 -1.89041104e+02  2.88403150e+00 -3.88615064e-02  2.88403150e+00 -1.83446513e+02  2.88403150e+00 -1.51347863e-02  2.88403150e+00 -5.51843299e+01 
 2.95120923e+00 -1.89040828e+02  2.95120923e+00 -3.97658841e-02  2.95120923e+00 -1.83443920e+02  2.95120923e+00 -1.51347864e-02  2.95120923e+00 -5.51843299e+01 
 3.01995172e+00 -1.89040538e+02  3.01995172e+00 -4.06912686e-02  3.01995172e+00 -1.83441207e+02  3.01995172e+00 -1.51347865e-02  3.01995172e+00 -5.51843298e+01 
 3.09029543e+00 -1.89040235e+02  3.09029543e+00 -4.16381452e-02  3.09029543e+00 -1.83438367e+02  3.09029543e+00 -1.51347866e-02  3.09029543e+00 -5.51843297e+01 
 3.16227766e+00 -1.89039917e+02  3.16227766e+00 -4.26070098e-02  3.16227766e+00 -1.83435395e+02  3.16227766e+00 -1.51347867e-02  3.16227766e+00 -5.51843297e+01 
 3.23593657e+00 -1.89039585e+02  3.23593657e+00 -4.35983700e-02  3.23593657e+00 -1.83432286e+02  3.23593657e+00 -1.51347869e-02  3.23593657e+00 -5.51843296e+01 
 3.31131121e+00 -1.89039237e+02  3.31131121e+00 -4.46127443e-02  3.31131121e+00 -1.83429032e+02  3.31131121e+00 -1.51347870e-02  3.31131121e+00 -5.51843295e+01 
 3.38844156e+00 -1.89038873e+02  3.38844156e+00 -4.56506636e-02  3.38844156e+00 -1.83425628e+02  3.38844156e+00 -1.51347871e-02  3.38844156e+00 -5.51843294e+01 
 3.46736850e+00 -1.89038491e+02  3.46736850e+00 -4.67126701e-02  3.46736850e+00 -1.83422066e+02  3.46736850e+00 -1.51347873e-02  3.46736850e+00 -5.51843293e+01 
 3.54813389e+00 -1.89038092e+02  3.54813389e+00 -4.77993187e-02  3.54813389e+00 -1.83418339e+02  3.54813389e+00 -1.51347874e-02  3.54813389e+00 -5.51843292e+01 
 3.63078055e+00 -1.89037673e+02  3.63078055e+00 -4.89111766e-02  3.63078055e+00 -1.83414440e+02  3.63078055e+00 -1.51347876e-02  3.63078055e+00 -5.51843292e+01 
 3.71535229e+00 -1.89037235e+02  3.71535229e+00 -5.00488237e-02  3.71535229e+00 -1.83410361e+02  3.71535229e+00 -1.51347878e-02  3.71535229e+00 -5.51843291e+01 
 3.80189396e+00 -1.89036777e+02  3.80189396e+00 -5.12128528e-02  3.80189396e+00 -1.83406094e+02  3.80189396e+00 -1.51347880e-02  3.80189396e+00 -5.51843290e+01 
 3.89045145e+00 -1.89036297e+02  3.89045145e+00 -5.24038702e-02  3.89045145e+00 -1.83401631e+02  3.89045145e+00 -1.51347881e-02  3.89045145e+00 -5.51843289e+01 
 3.98107171e+00 -1.89035794e+02  3.98107171e+00 -5.36224955e-02  3.98107171e+00 -1.83396961e+02  3.98107171e+00 -1.51347883e-02  3.98107171e+00 -5.51843287e+01 
 4.07380278e+00 -1.89035268e+02  4.07380278e+00 -5.48693623e-02  4.07380278e+00 -1.83392078e+02  4.07380278e+00 -1.51347885e-02  4.07380278e+00 -5.51843286e+01 
 4.16869383e+00 -1.89034717e+02  4.16869383e+00 -5.61451181e-02  4.16869383e+00 -1.83386969e+02  4.16869383e+00 -1.51347887e-02  4.16869383e+00 -5.51843285e+01 
 4.26579519e+00 -1.89034140e+02  4.26579519e+00 -5.74504249e-02  4.26579519e+00 -1.83381627e+02  4.26579519e+00 -1.51347890e-02  4.26579519e+00 -5.51843284e+01 
 4.36515832e+00 -1.89033536e+02  4.36515832e+00 -5.87859591e-02  4.36515832e+00 -1.83376040e+02  4.36515832e+00 -1.51347892e-02  4.36515832e+00 -5.51843283e+01 
 4.46683592e+00 -1.89032904e+02  4.46683592e+00 -6.01524124e-02  4.46683592e+00 -1.83370197e+02  4.46683592e+00 -1.51347894e-02  4.46683592e+00 -5.51843281e+01 
 4.57088190e+00 -1.89032241e+02  4.57088190e+00 -6.15504912e-02  4.57088190e+00 -1.83364087e+02  4.57088190e+00 -1.51347897e-02  4.57088190e+00 -5.51843280e+01 
 4.67735141e+00 -1.89031548e+02  4.67735141e+00 -6.29809180e-02  4.67735141e+00 -1.83357699e+02  4.67735141e+00 -1.51347899e-02  4.67735141e+00 -5.51843278e+01 
 4.78630092e+00 -1.89030823e+02  4.78630092e+00 -6.44444307e-02  4.78630092e+00 -1.83351019e+02  4.78630092e+00 -1.51347902e-02  4.78630092e+00 -5.51843277e+01 
 4.89778819e+00 -1.89030063e+02  4.89778819e+00 -6.59417832e-02  4.89778819e+00 -1.83344036e+02  4.89778819e+00 -1.51347905e-02  4.89778819e+00 -5.51843275e+01 
 5.01187234e+00 -1.89029267e+02  5.01187234e+00 -6.74737463e-02  5.01187234e+00 -1.83336735e+02  5.01187234e+00 -1.51347907e-02  5.01187234e+00 -5.51843274e+01 
 5.12861384e+00 -1.89028435e+02  5.12861384e+00 -6.90411069e-02  5.12861384e+00 -1.83329104e+02  5.12861384e+00 -1.51347910e-02  5.12861384e+00 -5.51843272e+01 
 5.24807460e+00 -1.89027563e+02  5.24807460e+00 -7.06446692e-02  5.24807460e+00 -1.83321127e+02  5.24807460e+00 -1.51347914e-02  5.24807460e+00 -5.51843270e+01 
 5.37031796e+00 -1.89026650e+02  5.37031796e+00 -7.22852548e-02  5.37031796e+00 -1.83312790e+02  5.37031796e+00 -1.51347917e-02  5.37031796e+00 -5.51843268e+01 
 5.49540874e+00 -1.89025695e+02  5.49540874e+00 -7.39637025e-02  5.49540874e+00 -1.83304077e+02  5.49540874e+00 -1.51347920e-02  5.49540874e+00 -5.51843266e+01 
 5.62341325e+00 -1.89024694e+02  5.62341325e+00 -7.56808694e-02  5.62341325e+00 -1.83294972e+02  5.62341325e+00 -1.51347924e-02  5.62341325e+00 -5.51843264e+01 
 5.75439937e+00 -1.89023647e+02  5.75439937e+00 -7.74376305e-02  5.75439937e+00 -1.83285458e+02  5.75439937e+00 -1.51347927e-02  5.75439937e+00 -5.51843262e+01 
